country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_international,package_accomodation,package_food,package_transport_local,package_sightseeing,package_guided_tour,package_insurance,nights_stayed,payment_mode,first_trip,most_impressing,total_cost
KENYA,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,0,Cash,Yes,Friendly People,5386875
ITALY,25-44,Spouse and Children,2,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,Cash,Yes,Friendly People,12265500
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes,Friendly People,10110750
DENMARK,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,20,Cash,Yes,Friendly People,3397875
UNITED STATES OF AMERICA,25-44,Alone,1,0,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,Credit Card,Yes,Friendly People,2154750
CANADA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Credit Card,Yes, Wildlife,15746250
ITALY,25-44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,"Wonderful Country, Landscape, Nature",9945000
AUSTRALIA,Jan-24,Alone,0,1,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,10,Cash,Yes, Wildlife,2071875
AUSTRALIA,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,Cash,Yes, Wildlife,2362935
IRELAND,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,Friendly People,4992526
CANADA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Cash,Yes, Wildlife,12190912.5
UNITED STATES OF AMERICA,65+,Alone,1,0,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,4,Cash,No,Friendly People,5469750
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,5,Cash,Yes, Wildlife,5154825
KENYA,45-64,Alone,0,1,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,828750
SPAIN,25-44,Spouse and Children,7,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,No,Yes,No,No,Yes,0,Cash,Yes,No comments,6581057
UNITED KINGDOM,Jan-24,Alone,0,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,6,Cash,Yes, Wildlife,114500
AUSTRALIA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,16,Cash,Yes, Wildlife,23370750
SPAIN,45-64,Spouse,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,4,Cash,Yes,No comments,15885310
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,No,No,14,Cash,No,Friendly People,9047259
UNITED STATES OF AMERICA,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,Cash,Yes,No comments,994500
UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,8900775
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,2,Cash,Yes,Satisfies and Hope Come Back,3978000
MOZAMBIQUE,25-44,Spouse and Children,3,2,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Credit Card,No,Good service,3513900
SOUTH AFRICA,45-64,Friends/Relatives,1,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Credit Card,Yes,Friendly People,883880
UNITED STATES OF AMERICA,45-64,Alone,1,0,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,6,Cash,Yes,Friendly People,5884125
FRANCE,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,Cash,Yes, Wildlife,2013862.5
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,0,Cash,Yes, Wildlife,10552384.5
KENYA,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,53500
UNITED KINGDOM,Jan-24,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,61,Cash,No,Friendly People,994500
SOUTH AFRICA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,Cash,Yes,No comments,4839900
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,0,Cash,Yes,Friendly People,5469750
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes, Wildlife,1134665
SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,15,Cash,Yes,No comments,994500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,0,Cash,Yes,"Wonderful Country, Landscape, Nature",8169588
SPAIN,Jan-24,Spouse and Children,3,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,0,Cash,Yes, Wildlife,828750
ZIMBABWE,25-44,Alone,0,1,Business,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,497250
ZIMBABWE,25-44,Friends/Relatives,0,2,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,3,Cash,Yes,Good service,497250
FRANCE,45-64,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes,Good service,43095000
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,Cash,No, Wildlife,13260000
SPAIN,25-44,Friends/Relatives,7,5,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,No,No,Yes,No,Yes,15,Cash,Yes,No comments,7375322.5
ITALY,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,Cash,Yes,Friendly People,7774724.58
SPAIN,25-44,Friends/Relatives,0,2,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",3315000
ZIMBABWE,45-64,Alone,0,1,Other,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,663200
AUSTRALIA,25-44,Alone,0,1,Meetings and Conference,business,others,Independent,No,No,No,No,No,No,No,0,Cash,Yes,Friendly People,1657500
GERMANY,45-64,Friends/Relatives,2,4,Leisure and Holidays,business,others,Package Tour,Yes,No,Yes,Yes,No,No,No,0,Cash,Yes,Friendly People,3630928
ZAMBIA,25-44,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,Cash,No,Good service,655000
AUSTRALIA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes, Wildlife,21895575
CANADA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,1823250
GERMANY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,Cash,Yes, Wildlife,453866
FRANCE,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,16,Cash,Yes,Friendly People,3315000
OMAN,45-64,Alone,0,1,Leisure and Holidays,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,2569125
CHINA,25-44,Friends/Relatives,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,3,Cash,No, Wildlife,19475625
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,12,Cash,Yes, Wildlife,5304000
ITALY,25-44,Spouse,1,1,Leisure and Holidays,business,others,Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes,Excellent Experience,2496263
MALAYSIA,45-64,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,Good service,4011150
ITALY,25-44,Spouse and Children,2,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes,"Wonderful Country, Landscape, Nature",907732
MALAYSIA,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,No comments,4092367.5
KENYA,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,No,"Wonderful Country, Landscape, Nature",3315000
SINGAPORE,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,5,Travellers Cheque,Yes,No comments,1657500
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,Cash,Yes, Wildlife,3480750
HUNGARY,45-64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,Friendly People,12845625
KENYA,45-64,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Friendly People,953062.5
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,Cash,Yes,Friendly People,1917583.85
GERMANY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes,Good service,7060950
GERMANY,45-64,Children,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,25,Cash,No,Friendly People,4538660
GERMANY,45-64,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,13,Cash,Yes, Wildlife,9862125
SPAIN,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,Trade fair,Independent,No,No,No,No,No,No,No,0,Cash,No,"Wonderful Country, Landscape, Nature",828750
UNITED STATES OF AMERICA,45-64,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Friendly People,165750
ZIMBABWE,25-44,Alone,0,1,Business,Beach tourism,others,Independent,No,No,No,No,No,No,No,2,Cash,Yes, Wildlife,375760
DRC,45-64,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,No,Friendly People,262000
ZAMBIA,25-44,Children,0,2,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Satisfies and Hope Come Back,596000
DRC,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,Yes,Good service,425760
AUSTRALIA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Credit Card,Yes, Wildlife,203872.5
UGANDA,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Friendly People,254024
SOUTH AFRICA,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,Cash,No,Friendly People,4661400
ZAMBIA,25-44,Friends/Relatives,0,2,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Satisfies and Hope Come Back,596000
AUSTRALIA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Credit Card,Yes, Wildlife,1077375
SWEDEN,45-64,Alone,1,0,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,Cash,No,"Wonderful Country, Landscape, Nature",500000
ZIMBABWE,25-44,Spouse,1,1,Other,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,Cash,Yes,Friendly People,200000
AUSTRALIA,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Credit Card,Yes,Friendly People,1657500
SOUTH AFRICA,45-64,Alone,0,1,Business,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,No,No,No,5,Credit Card,Yes,Friendly People,2096737.5
SOUTH AFRICA,25-44,Alone,1,0,Business,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,Cash,No,Good service,1991535
FRANCE,45-64,Friends/Relatives,3,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Credit Card,Yes,Friendly People,42266250
UNITED KINGDOM,45-64,Spouse and Children,2,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,No,0,Cash,Yes, Wildlife,17403750
UNITED KINGDOM,Jan-24,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,22,Cash,Yes,No comments,853515
OMAN,Jan-24,Spouse,1,1,Visiting Friends and Relatives,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,0,Cash,Yes,Excellent Experience,157770.4
RUSSIA,45-64,Spouse and Children,1,2,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,Cash,Yes,Friendly People,4077450
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Cash,Yes, Wildlife,10608000
SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Cash,Yes,Friendly People,16429949.2
ZIMBABWE,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,Credit Card,Yes,Friendly People,6795750
GERMANY,45-64,Children,3,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,17,Cash,No,Friendly People,3978000
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Cash,Yes,Excellent Experience,7790250
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes,Friendly People,17735250
CANADA,25-44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,Cash,Yes,Good service,33150000
UNITED STATES OF AMERICA,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Credit Card,Yes, Wildlife,17403750
SOUTH AFRICA,45-64,Alone,0,1,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,No,Friendly People,2486250
NETHERLANDS,Jan-24,Friends/Relatives,0,2,Volunteering,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,90,Cash,Yes, Wildlife,992400
BURUNDI,25-44,Children,1,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Satisfies and Hope Come Back,165000
ZIMBABWE,45-64,Alone,0,1,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Excellent Experience,1773525
UNITED KINGDOM,45-64,Spouse and Children,1,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,7,Cash,Yes,Friendly People,21547500
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Cash,Yes,Friendly People,20514743.2
FRANCE,25-44,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,Cash,Yes,"Wonderful Country, Landscape, Nature",28840500
INDIA,Jan-24,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,23,Cash,No, Wildlife,5801250
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Cash,Yes,Friendly People,8430045
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,No,Yes,Yes,No,No,12,Cash,Yes,Friendly People,9116250
NETHERLANDS,25-44,Spouse and Children,5,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,Credit Card,Yes,Friendly People,81695880
FRANCE,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,10,Cash,Yes,No comments,3480750
POLAND,45-64,Spouse and Children,3,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,Cash,Yes, Wildlife,33150000
ITALY,25-44,Friends/Relatives,1,1,Visiting Friends and Relatives,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,Cash,Yes,No comments,9077320
UNITED STATES OF AMERICA,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",3563625
UNITED KINGDOM,Jan-24,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,11,Cash,Yes,Good service,580125
KENYA,45-64,Spouse and Children,1,2,Visiting Friends and Relatives,Hunting tourism,others,Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,283140
UNITED KINGDOM,25-44,Alone,1,0,Other,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,9,Cash,Yes,Good service,4972500
PAKISTAN,25-44,Spouse and Children,1,2,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,65,Cash,Yes, Wildlife,49725000
UNITED STATES OF AMERICA,45-64,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes, Wildlife,21133125
JAPAN,Jan-24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,3,Cash,Yes, Wildlife,2734875
SOUTH AFRICA,45-64,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,0,Cash,Yes,No comments,12182625
GERMANY,Jan-24,Alone,1,0,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,11,Cash,No,Excellent Experience,1300000
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes,Good service,6630000
NETHERLANDS,Jan-24,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,Cash,Yes,Good service,10211985
ZIMBABWE,25-44,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,3,Cash,Yes,No comments,331500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,Cash,Yes, Wildlife,7375322.5
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,Cash,Yes, Wildlife,7261856
ZIMBABWE,45-64,Alone,1,0,Business,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes,"Wonderful Country, Landscape, Nature",340000
NETHERLANDS,45-64,Children,1,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,10,Cash,Yes, Wildlife,23205000
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,0,Cash,Yes, Wildlife,11028943.8
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,11,Cash,Yes, Wildlife,24862500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes,No comments,6817067.32
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,No,Yes,No,Yes,No,9,Cash,Yes,Friendly People,8967075
NORWAY,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,others,Package Tour,Yes,Yes,No,Yes,No,No,No,9,Cash,Yes,Friendly People,6464250
IRELAND,25-44,Spouse,1,0,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,Cash,Yes,Friendly People,1823250
MALAYSIA,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,others,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,Cash,Yes, Wildlife,4823325
ITALY,Jan-24,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,Cash,Yes, Wildlife,8827693.7
UNITED KINGDOM,45-64,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,4,Cash,Yes,Good service,14794260
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,No,No,No,No,No,No,13,Cash,Yes,Friendly People,6795750
SOUTH AFRICA,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,0,Credit Card,Yes,Satisfies and Hope Come Back,341836
SOUTH AFRICA,45-64,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,No,No,No,6,Cash,No,Good service,7796880
UNITED KINGDOM,65+,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Friendly People,11602500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes, Wildlife,7261856
TAIWAN,Jan-24,Alone,0,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,10,Cash,Yes, Wildlife,1657500
UGANDA,45-64,Friends/Relatives,2,3,Visiting Friends and Relatives,Hunting tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,21,Cash,No,Friendly People,4143750
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,Cash,Yes,Friendly People,1361598
UGANDA,25-44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,Cash,No,Friendly People,200000
BURUNDI,45-64,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,Yes,No comments,110000
ZIMBABWE,25-44,Alone,0,1,Other,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No, Wildlife,663000
